"BATTER_ID","PLAYER_NAME","GAME_YEAR","PITCH_TYPE_FB","PITCH_TYPE_BB","PITCH_TYPE_OS"
444482,"Peralta, David",2024,0.5634,0.3141,0.1225
453568,"Blackmon, Charlie",2024,0.5632,0.3137,0.1231
456781,"Solano, Donovan",2024,0.5631,0.3136,0.1233
457705,"McCutchen, Andrew",2024,0.5631,0.3136,0.1233
457759,"Turner, Justin",2024,0.5631,0.3136,0.1233
467793,"Santana, Carlos",2024,0.5629,0.3132,0.1239
500743,"Rojas, Miguel",2024,0.5623,0.3119,0.1258
502054,"Pham, Tommy",2024,0.5623,0.3118,0.1259
502110,"Martinez, J.D.",2024,0.5623,0.3118,0.1259
502671,"Goldschmidt, Paul",2024,0.5623,0.3118,0.1259
514888,"Altuve, Jose",2024,0.562,0.3113,0.1267
516782,"Marte, Starling",2024,0.562,0.3112,0.1268
518595,"d'Arnaud, Travis",2024,0.562,0.3112,0.1269
518692,"Freeman, Freddie",2024,0.562,0.3112,0.1269
518792,"Heyward, Jason",2024,0.562,0.3112,0.1269
519203,"Rizzo, Anthony",2024,0.5619,0.3112,0.1269
519317,"Stanton, Giancarlo",2024,0.5619,0.3111,0.1269
521692,"Perez, Salvador",2024,0.5619,0.3111,0.1271
542303,"Ozuna, Marcell",2024,0.5615,0.3102,0.1283
543257,"Grossman, Robbie",2024,0.5615,0.3102,0.1283
543309,"Higashioka, Kyle",2024,0.5615,0.3102,0.1283
543760,"Semien, Marcus",2024,0.5615,0.3102,0.1284
543807,"Springer, George",2024,0.5615,0.3102,0.1284
543877,"Vázquez, Christian",2024,0.5615,0.3102,0.1284
545121,"Vargas, Ildemaro",2024,0.5614,0.3101,0.1284
545341,"Grichuk, Randal",2024,0.5614,0.3101,0.1285
547180,"Harper, Bryce",2024,0.5614,0.31,0.1286
553869,"Díaz, Elias",2024,0.5612,0.3098,0.129
553993,"Suárez, Eugenio",2024,0.5612,0.3098,0.129
570482,"Urshela, Gio",2024,0.5609,0.3091,0.13
571448,"Arenado, Nolan",2024,0.5609,0.3091,0.13
571745,"Haniger, Mitch",2024,0.5609,0.3091,0.1301
571771,"Hernández, Enrique",2024,0.5609,0.3091,0.1301
571970,"Muncy, Max",2024,0.5609,0.3091,0.1301
572138,"Singleton, Jon",2024,0.5609,0.3091,0.1301
572191,"Taylor, Michael A.",2024,0.5609,0.309,0.1301
572233,"Walker, Christian",2024,0.5609,0.309,0.1301
573262,"Yastrzemski, Mike",2024,0.5609,0.309,0.1301
575929,"Contreras, Willson",2024,0.5608,0.3089,0.1303
578428,"Iglesias, Jose",2024,0.5607,0.3088,0.1305
592192,"Canha, Mark",2024,0.5605,0.3083,0.1313
592206,"Castellanos, Nick",2024,0.5605,0.3083,0.1313
592273,"Drury, Brandon",2024,0.5605,0.3082,0.1313
592450,"Judge, Aaron",2024,0.5605,0.3082,0.1313
592518,"Machado, Manny",2024,0.5604,0.3082,0.1313
592626,"Pederson, Joc",2024,0.5604,0.3082,0.1313
592663,"Realmuto, J.T.",2024,0.5604,0.3082,0.1313
592669,"Renfroe, Hunter",2024,0.5604,0.3082,0.1313
592696,"Rosario, Eddie",2024,0.5604,0.3082,0.1313
592885,"Yelich, Christian",2024,0.5604,0.3082,0.1313
593160,"Merrifield, Whit",2024,0.5604,0.3082,0.1314
593428,"Bogaerts, Xander",2024,0.5604,0.3082,0.1314
593871,"Polanco, Jorge",2024,0.5604,0.3082,0.1314
594807,"Duvall, Adam",2024,0.5604,0.3081,0.1315
595281,"Kiermaier, Kevin",2024,0.5604,0.3081,0.1315
595777,"Profar, Jurickson",2024,0.5604,0.3081,0.1315
595879,"Báez, Javier",2024,0.5604,0.3081,0.1315
595909,"Cave, Jake",2024,0.5604,0.3081,0.1315
596019,"Lindor, Francisco",2024,0.5604,0.3081,0.1315
596142,"Sánchez, Gary",2024,0.5604,0.3081,0.1315
596146,"Kepler, Max",2024,0.5604,0.3081,0.1315
600869,"Candelario, Jeimer",2024,0.5603,0.3079,0.1318
602104,"Urías, Ramón",2024,0.5602,0.3079,0.1319
605137,"Bell, Josh",2024,0.5602,0.3077,0.1321
605141,"Betts, Mookie",2024,0.5602,0.3077,0.1321
605170,"Caratini, Victor",2024,0.5602,0.3077,0.1321
606115,"Arcia, Orlando",2024,0.5602,0.3077,0.1321
606192,"Hernández, Teoscar",2024,0.5602,0.3077,0.1321
606466,"Marte, Ketel",2024,0.5602,0.3077,0.1322
607043,"Nimmo, Brandon",2024,0.5601,0.3077,0.1322
607208,"Turner, Trea",2024,0.5601,0.3077,0.1322
607680,"Pillar, Kevin",2024,0.5601,0.3076,0.1322
607732,"Stallings, Jacob",2024,0.5601,0.3076,0.1322
608070,"Ramírez, José",2024,0.5601,0.3076,0.1323
608324,"Bregman, Alex",2024,0.5601,0.3076,0.1323
608336,"Gallo, Joey",2024,0.5601,0.3076,0.1323
608348,"Kelly, Carson",2024,0.5601,0.3076,0.1323
608369,"Seager, Corey",2024,0.5601,0.3076,0.1323
608385,"Winker, Jesse",2024,0.5601,0.3076,0.1323
608701,"Refsnyder, Rob",2024,0.5601,0.3076,0.1323
608841,"Meneses, Joey",2024,0.5601,0.3076,0.1323
609280,"Andujar, Miguel",2024,0.5601,0.3076,0.1323
621020,"Swanson, Dansby",2024,0.5598,0.3071,0.1331
621028,"Newman, Kevin",2024,0.5598,0.3071,0.1331
621035,"Taylor, Chris",2024,0.5598,0.3071,0.1331
621043,"Correa, Carlos",2024,0.5598,0.3071,0.1331
621438,"Taylor, Tyrone",2024,0.5598,0.3071,0.1331
621439,"Buxton, Byron",2024,0.5598,0.3071,0.1331
621493,"Ward, Taylor",2024,0.5598,0.3071,0.1331
621566,"Olson, Matt",2024,0.5598,0.3071,0.1331
622534,"Margot, Manuel",2024,0.5598,0.307,0.1332
623993,"Santander, Anthony",2024,0.5598,0.307,0.1332
624413,"Alonso, Pete",2024,0.5598,0.307,0.1333
624424,"Conforto, Michael",2024,0.5598,0.307,0.1333
624428,"Frazier, Adam",2024,0.5598,0.307,0.1333
624503,"Gordon, Nick",2024,0.5598,0.307,0.1333
624585,"Soler, Jorge",2024,0.5598,0.307,0.1333
624641,"Sosa, Edmundo",2024,0.5598,0.307,0.1333
630105,"Cronenworth, Jake",2024,0.5596,0.3067,0.1336
641343,"Bauers, Jake",2024,0.5594,0.3063,0.1343
641355,"Bellinger, Cody",2024,0.5594,0.3063,0.1343
